,ID,Primary Type,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
7586,7516729,ASSAULT,7.0,2010,41.92452242,-87.66812155,170318325001004,832500,1004
173643,7743811,DECEPTIVE PRACTICE,11.0,2010,41.96880419,-87.76154692,170311105021009,110502,1009
208623,7349869,NARCOTICS,73.0,2010,41.706863299999995,-87.64856162,170317307002001,730700,2001
262497,7692160,OTHER OFFENSE,66.0,2010,41.77853196,-87.67983575,170316607001001,660700,1001
328771,7652812,THEFT,18.0,2010,41.93187442,-87.79427626,170311801002012,180100,2012
219956,7536805,NARCOTICS,23.0,2010,41.91006581,-87.71069315,170312309001003,230900,1003
62667,7412420,BATTERY,61.0,2010,41.79691411,-87.66709208,170316118002001,611800,2001
232310,7782375,NARCOTICS,25.0,2010,41.88018649,-87.76854715,170312521011002,252101,1002
306052,7366757,THEFT,68.0,2010,41.76877807,-87.64862206,170316811004011,681100,4011
350678,7864874,THEFT,2.0,2010,41.99187674,-87.70673292,170310207024008,020702,4008
332791,7657807,THEFT,63.0,2010,41.79347451,-87.70640646,170316303002034,630300,2034
248673,7810957,OTHER OFFENSE,42.0,2010,41.78403837,-87.60695014,170314205002001,420500,2001
18768,7804684,ASSAULT,1.0,2010,42.02165457,-87.67307202,170310101002007,010100,2007
222334,7480560,NARCOTICS,36.0,2010,41.82506811,-87.60869525,170313602001010,360200,1010
350558,7688165,THEFT,12.0,2010,41.99042779,-87.74833179,170311202004001,120200,4001
257734,7477378,OTHER OFFENSE,30.0,2010,41.84504323,-87.73331517,170313018012010,301801,2010
172747,7742934,DECEPTIVE PRACTICE,29.0,2010,41.85348095,-87.72583644,170312925002011,292500,2011
62476,7803574,BATTERY,25.0,2010,41.90495043,-87.75747002,170312507002007,250700,2007
340014,7335815,THEFT,26.0,2010,41.88060406,-87.73608922,170312604001039,260400,1039
11111,7427003,ASSAULT,17.0,2010,41.95240266,-87.77675144,170311506004002,150600,4002
125395,7815266,CRIMINAL DAMAGE,43.0,2010,41.76154459,-87.58195719,170314309001006,430900,1006
254826,7318123,OTHER OFFENSE,20.0,2010,41.93579129999999,-87.73938955,170312001003020,200100,3020
19012,7366135,ASSAULT,44.0,2010,41.75058287,-87.60394859,170314401014004,440101,4004
355287,7308949,THEFT,67.0,2010,41.76770355,-87.65904032,170316716002009,671600,2009
284891,7662256,ROBBERY,66.0,2010,41.77667796,-87.68100209,170316607001006,660700,1006
221354,7503838,NARCOTICS,27.0,2010,41.8717307,-87.71664985,170312705001045,270500,1045
367182,7763412,WEAPONS VIOLATION,23.0,2010,41.90126084,-87.72995336,170318421004006,842100,4006
270759,7331207,PUBLIC PEACE VIOLATION,32.0,2010,41.88574103,-87.63171175,170318391001024,839100,1024
304438,7461166,THEFT,32.0,2010,41.87133667,-87.625925,170313206002011,320600,2011
58432,7443210,BATTERY,39.0,2010,41.80893769,-87.59925218,170313905001000,390500,1000
133556,7407143,CRIMINAL DAMAGE,66.0,2010,41.7734205,-87.70865842,170316605003010,660500,3010
