,Year,Business Type,Business Name,Address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#OnPremises
212,2003,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BATTERY,1,0,0
213,2006,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BATTERY,1,1,0
214,2011,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BATTERY,1,0,0
215,2013,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BATTERY,1,0,0
216,2017,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BATTERY,1,0,0
217,2007,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,BURGLARY,1,0,0
218,2006,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
219,2009,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
220,2010,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
221,2015,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
222,2016,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
223,2002,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL TRESPASS,1,1,0
224,2012,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,CRIMINAL TRESPASS,2,0,0
225,2016,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
226,2002,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,OTHER OFFENSE,2,1,0
227,2005,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,OTHER OFFENSE,1,0,0
228,2011,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,OTHER OFFENSE,1,0,0
229,2013,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,OTHER OFFENSE,1,0,0
230,2004,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,PUBLIC PEACE VIOLATION,1,1,0
231,2002,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,1,1,0
232,2004,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,3,1,0
233,2006,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,5,0,0
234,2007,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,1,0,0
235,2008,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,2,0,0
236,2009,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,2,0,0
237,2010,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,1,0,0
238,2011,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,1,0,0
239,2012,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,3,0,0
240,2013,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,2,0,0
241,2014,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,2,0,0
242,2016,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,1,1,0
243,2017,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,THEFT,2,0,0
244,2003,restaurant,"MORGAN MARKET, INC",375 N MORGAN ST,TRUE,FALSE,ASSAULT,5,1,0
245,2004,restaurant,"MORGAN MARKET, INC",375 N MORGAN ST,TRUE,FALSE,ASSAULT,1,1,0
246,2005,restaurant,"MORGAN MARKET, INC",375 N MORGAN ST,TRUE,FALSE,ASSAULT,1,1,0
247,2006,restaurant,"MORGAN MARKET, INC",375 N MORGAN ST,TRUE,FALSE,ASSAULT,2,0,0
248,2007,restaurant,"MORGAN MARKET, INC",375 N MORGAN ST,TRUE,FALSE,ASSAULT,2,1,0
