,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
4295555,3530086,BATTERY,False,67.0,2004,41.768237618,-87.65419967,170318349001000,834900,1000
4170470,3328085,CRIMINAL DAMAGE,False,15.0,2004,41.959707854,-87.755661019,170311502005005,150200,5005
2654173,8921866,ASSAULT,False,43.0,2012,41.772812361,-87.57647706700001,170314301014007,430101,4007
5348715,5824048,CRIMINAL DAMAGE,False,42.0,2007,41.777856805999996,-87.60282938,170314208001018,420800,1018
1218156,8070264,ROBBERY,False,6.0,2011,41.943430309,-87.64488194299999,170310620001000,062000,1000
488310,10929568,BURGLARY,False,63.0,2017,41.7929701,-87.690122054,170318351002006,835100,2006
678063,11246699,CRIMINAL DAMAGE,False,25.0,2018,41.91310256,-87.760012625,170312503003000,250300,3000
3782671,10833622,ROBBERY,False,67.0,2017,41.769916749000004,-87.66395497799999,170316716003016,671600,3016
5941347,7057680,BATTERY,False,61.0,2009,41.795019064,-87.668255877,170316118002006,611800,2006
1529555,5322318,BATTERY,True,8.0,2007,41.904192368000004,-87.647000785,170318422001052,842200,1052
135064,10252109,SEX OFFENSE,False,24.0,2015,41.909618829,-87.676277805,170312414001007,241400,1007
4982818,4987411,THEFT,False,3.0,2006,41.966430564,-87.65103241700001,170310315013000,031501,3000
671919,11241118,BATTERY,False,29.0,2018,41.866491707,-87.69748821299999,170318386002013,838600,2013
5581520,6329897,CRIMINAL TRESPASS,False,33.0,2008,41.851958307,-87.627067195,170318410001025,841000,1025
5804383,6779450,THEFT,False,27.0,2009,41.873699424,-87.704705156,170312712001038,271200,1038
1676687,6072096,BATTERY,True,8.0,2008,41.901873845,-87.628038144,170310812022004,081202,2004
3924933,2980827,BATTERY,False,13.0,2003,41.981793945,-87.71369849,170318318005020,831800,5020
3140613,9796781,CRIMINAL DAMAGE,False,19.0,2014,41.920631811999996,-87.773169473,170311913021014,191302,1014
2963393,9415450,CRIMINAL TRESPASS,True,32.0,2013,41.885740288,-87.631590568,170318391001024,839100,1024
3198875,9904343,THEFT,False,42.0,2014,41.780443469,-87.60350397,170314204001009,420400,1009
2601924,8840250,BATTERY,True,46.0,2012,41.742051271,-87.54421234600001,170314602001007,460200,1007
2536970,8577891,DECEPTIVE PRACTICE,False,24.0,2011,41.902685579,-87.667473996,170312420003004,242000,3004
3443122,2296551,CRIMINAL DAMAGE,False,69.0,2002,41.770015517,-87.62504512,170316904004007,690400,4007
