Inspection ID,DBA Name,AKA Name,License #,Address,City,State,Zip,Inspection Date,Inspection Type,Results
1324765,THE JUNCTION CHICAGO,THE JUNCTION CHICAGO,2245720,225 S CANAL ,CHICAGO,IL,60606,11/04/2013,License,Pass
1345629,DAILY NEWS,DAILY NEWS,1222232,225 N MICHIGAN ,CHICAGO,IL,60601,11/04/2013,Canvass,Pass
1115111,ROOSEVELT UNIVERSITY DINING SERVICES,ROOSEVELT UNIVERSITY DINING SERVICES,2156647,425 S WABASH ,CHICAGO,IL,60605,11/04/2013,Complaint,Fail
1324764,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649324,233 S WACKER ,CHICAGO,IL,60606,11/04/2013,Complaint Re-Inspection,Pass
1345628,MCDONALD'S,MCDONALD'S,1769269,233 N MICHIGAN ,CHICAGO,IL,60601,11/04/2013,Canvass,Pass
1115110,SBARRO,SBARRO,45411,333 S ,CHICAGO,IL,60604,11/04/2013,Short Form Complaint,Pass
1324763,COSI,COSI,40,233 N MICHIGAN ,CHICAGO,IL,60601,11/04/2013,Complaint Re-Inspection,Pass
1345627,FANNIE MAY CONFECTIONS #152,FANNIE MAY CANDIES,1543101,343 N MICHIGAN ,CHICAGO,IL,60601,11/04/2013,Canvass,Pass
1370149,THE BAR 10 DOORS,THE BAR 10 DOORS,2013819,1251-1259 W TAYLOR ,CHICAGO,IL,60607,11/01/2013,Canvass Re-Inspection,Pass
1174623,ROSAL'S CUCINA INC,ROSAL'S CUCINA INC,21087,1154 W TAYLOR ,CHICAGO,IL,60607,10/31/2013,Canvass,Pass
1324762,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649324,233 S WACKER ,CHICAGO,IL,60606,10/31/2013,Complaint,Pass w/ Conditions
1115109,MCDONALD'S RESTAURANTS,MCDONALD'S RESTAURANTS,1884173,144 S WABASH ,CHICAGO,IL,60603,10/31/2013,Complaint Re-Inspection,Pass
1319878,THE BAR 10 DOORS,THE BAR 10 DOORS,2013819,1251-1259 W TAYLOR ,CHICAGO,IL,60607,10/31/2013,Canvass,Fail
1174622,CACTUS BAR & GRILL,CACTUS BAR & GRILL,1476100,404-412 S WELLS ,CHICAGO,IL,60607,10/31/2013,Canvass Re-Inspection,Pass
1345624,STARBUCKS COFFEE #225,STARBUCKS COFFEE,23063,40 W LAKE ,CHICAGO,IL,60601,10/31/2013,Canvass,Pass
1115108,SIMPLY THALIA,SIMPLY THALIA,2059952,108 N ,CHICAGO,IL,60602,10/31/2013,Complaint,Fail
1319877,CARMICHAEL'S CHICAGO STEAK HSE,CARMICHAEL'S CHICAGO STEAK HSE,59485,1052 W MONROE ,CHICAGO,IL,60607,10/31/2013,Canvass Re-Inspection,Pass
1324761,THE JUNCTION CHICAGO,THE JUNCTION CHICAGO,2245720,225 S CANAL ,CHICAGO,IL,60606,10/31/2013,License,Fail
1324760,THE JUNCTION CHICAGO,THE JUNCTION CHICAGO,2245719,225 S CANAL ,CHICAGO,IL,60606,10/31/2013,License,Fail
1345623,CAFE DESCARTES,CAFE DESCARTES,1543755,111 E WACKER ,CHICAGO,IL,60601,10/31/2013,Canvass,Pass w/ Conditions
